ID,Title,Author,Series,Series Number,Goodreads,Bookwyrm,Formats
"class=""id"">0026","class=""title"">The Fellowship of the Ring","class=""author"">J.R.R. Tolkien","class=""series""> Middle Earth","class=""sernum"">2","class=""goodreads""><a href=""https://www.goodreads.com/book/show/13356706-the-fellowship-of-the-ring"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/126992/s/the-fellowship-of-the-ring"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Print"
"class=""id"">0027","class=""title"">A Game of Thrones","class=""author"">George R.R. Martin","class=""series""> ASOIAF","class=""sernum"">1","class=""goodreads""><a href=""https://www.goodreads.com/book/show/13496.A_Game_of_Thrones"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/8043/s/a-game-of-thrones"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0028","class=""title"">A Gathering of Shadows","class=""author"">V.E. Schwab","class=""series""> Shades of Magic","class=""sernum"">2","class=""goodreads""><a href=""https://www.goodreads.com/book/show/20764879-a-gathering-of-shadows"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/39782/s/a-gathering-of-shadows"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook"
"class=""id"">0029","class=""title"">God Emperor of Dune","class=""author"">Frank Herbert","class=""series""> Dune","class=""sernum"">4","class=""goodreads""><a href=""https://www.goodreads.com/book/show/44439415-god-emperor-of-dune"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/130222/s/god-emperor-of-dune"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0030","class=""title"">The Great Gatsby","class=""author"">F. Scott Fitzgerald","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/57346727-the-great-gatsby---reader-s-library-classic"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/4898/s/the-great-gatsby"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0031","class=""title"">Greenlights","class=""author"">Matthew McConaughey","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/213156035-greenlights"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/107577/s/greenlights"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0032","class=""title"">The Gunslinger","class=""author"">Stephen King","class=""series""> The Dark Tower","class=""sernum"">1","class=""goodreads""><a href=""https://www.goodreads.com/book/show/247642509-the-gunslinger"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/106059/s/the-dark-tower-i"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook"
"class=""id"">0033","class=""title"">Harry Potter and the Chamber of Secrets","class=""author"">J.K. Rowling","class=""series""> Harry Potter","class=""sernum"">2","class=""goodreads""><a href=""https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/6123/s/harry-potter-and-the-chamber-of-secrets"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook"
"class=""id"">0034","class=""title"">Harry Potter and the Cursed Child","class=""author"">J.K. Rowling","class=""series""> Harry Potter","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/29056083-harry-potter-and-the-cursed-child"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/120105/s/harry-potter-and-the-cursed-child"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook"
"class=""id"">0035","class=""title"">Harry Potter and the Deathly Hallows","class=""author"">J.K. Rowling","class=""series""> Harry Potter","class=""sernum"">7","class=""goodreads""><a href=""https://www.goodreads.com/book/show/58613224-harry-potter-and-the-deathly-hallows"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/122887/s/harry-potter-and-the-deathly-hallows"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook"
