ID,Title,Author,Series,Series Number,Goodreads,Bookwyrm,Formats
"class=""id"">0078","class=""title"">Sunrise on the Reaping","class=""author"">Suzanne Collins","class=""series""> The Hunger Games","class=""sernum"">0.5","class=""goodreads""><a href=""https://www.goodreads.com/book/show/214331246-sunrise-on-the-reaping"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/1740472/s/sunrise-on-the-reaping"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0080","class=""title"">The Tales of Beedle the Bard","class=""author"">J.K. Rowling","class=""series""> Harry Potter","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/4020390-the-tales-of-beedle-the-bard"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/63468/s/the-tales-of-beedle-the-bard"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0081","class=""title"">Tao Te Ching","class=""author"">Stephen Mitchell","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/439655.Tao_Te_Ching"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/444698/s/tao-te-ching"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0082","class=""title"">Thus Spake Zarathustra","class=""author"">Friedrich Nietzsche","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/27832470-thus-spake-zarathustra"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/154539/s/thus-spake-zarathustra-thus-spoke-zarathustra"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0083","class=""title"">To Kill a Mockingbird","class=""author"">Harper Lee","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/56916837-to-kill-a-mockingbird"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/134243/s/to-kill-a-mockingbird"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0084","class=""title"">The Two Towers","class=""author"">J.R.R. Tolkien","class=""series""> Middle Earth","class=""sernum"">3","class=""goodreads""><a href=""https://www.goodreads.com/book/show/55608406-the-two-towers"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/215427/s/the-two-towers"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Print"
"class=""id"">0085","class=""title"">The Wastelands","class=""author"">Stephen King","class=""series""> The Dark Tower","class=""sernum"">3","class=""goodreads""><a href=""https://www.goodreads.com/book/show/34084.The_Waste_Lands"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/24388/s/the-waste-lands"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook"
"class=""id"">0086","class=""title"">The Westing Game","class=""author"">Ellen Raskin","class=""series""> ","class=""sernum""> ","class=""goodreads""><a href=""https://www.goodreads.com/book/show/902.The_Westing_Game"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/54638/s/the-westing-game"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0087","class=""title"">The Wind Through the Keyhole","class=""author"">Stephen King","class=""series""> The Dark Tower","class=""sernum"">4.5","class=""goodreads""><a href=""https://www.goodreads.com/book/show/12341557-the-wind-through-the-keyhole"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/36386/s/the-wind-through-the-keyhole"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook"
"class=""id"">0088","class=""title"">The Winds of Winter","class=""author"">George R.R. Martin","class=""series""> ASOIAF","class=""sernum"">6","class=""goodreads""><a href=""https://www.goodreads.com/book/show/12111823-the-winds-of-winter"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/192599/s/the-winds-of-winter"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook"
"class=""id"">0089","class=""title"">Wizard and Glass","class=""author"">Stephen King","class=""series""> The Dark Tower","class=""sernum"">4","class=""goodreads""><a href=""https://www.goodreads.com/book/show/5096.Wizard_and_Glass"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/20023/s/the-dark-tower-iv"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook"
"class=""id"">0090","class=""title"">Wolves of the Calla","class=""author"">Stephen King","class=""series""> The Dark Tower","class=""sernum"">5","class=""goodreads""><a href=""https://www.goodreads.com/book/show/4978.Wolves_of_the_Calla"" target=""_blank"">Goodreads</a>","class=""bookwyrm""><a href=""https://bookwyrm.social/book/22971/s/wolves-of-the-calla"" target=""_blank"">Bookwyrm</a>","class=""formats"">eBook, Audiobook"
